Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2014,1,1,CLE,Andrew Wiggins,University of Kansas,4,251,9069,5111,1020,532,0.45,0.332,0.755,36.1,20.4,4.1,2.1,10.5,0.055,-2.3,-0.8
2014,2,2,MIL,Jabari Parker,Duke University,3,152,4874,2403,847,314,0.491,0.341,0.748,32.1,15.8,5.6,2.1,9,0.088,-1.3,0.9
2014,3,3,PHI,Joel Embiid,University of Kansas,2,36,924,730,294,79,0.469,0.347,0.789,25.7,20.3,8.2,2.2,2.1,0.107,2.7,1.1
2014,4,4,ORL,Aaron Gordon,University of Arizona,4,209,5091,2069,1119,322,0.463,0.3,0.701,24.4,9.9,5.4,1.5,10.8,0.102,0.1,2.7
2014,5,5,UTA,Dante Exum,,2,148,3045,805,263,309,0.385,0.308,0.743,20.6,5.4,1.8,2.1,1.1,0.017,-3.3,-1
2014,6,6,BOS,Marcus Smart,Oklahoma State University,4,211,5995,1964,803,772,0.357,0.291,0.757,28.4,9.3,3.8,3.7,9.1,0.073,0.4,3.7
2014,7,7,LAL,Julius Randle,University of Kentucky,4,162,4548,1959,1495,417,0.46,0.275,0.715,28.1,12.1,9.2,2.6,5.5,0.058,-1.8,0.2
2014,8,8,SAC,Nik Stauskas,University of Michigan,4,228,5138,1696,497,393,0.386,0.343,0.808,22.5,7.4,2.2,1.7,2.4,0.023,-3.2,-1.5
2014,9,9,CHH,Noah Vonleh,Indiana University,3,177,2698,693,778,65,0.444,0.291,0.678,15.2,3.9,4.4,0.4,3.4,0.061,-4.1,-1.4
2014,10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,4,239,7092,2572,1001,1543,0.446,0.291,0.609,29.7,10.8,4.2,6.5,8.9,0.061,-0.4,2.9
2014,11,11,DEN,Doug McDermott,Creighton University,4,188,3793,1495,433,132,0.447,0.394,0.833,20.2,8,2.3,0.7,5.7,0.072,-3.5,-1.4
2014,12,12,ORL,Dario Saric,,2,87,2266,1080,537,192,0.407,0.312,0.778,26,12.4,6.2,2.2,0.9,0.019,-2.3,-0.2
2014,13,13,MIN,Zach LaVine,"University of California, Los Angeles",3,206,5945,2817,602,666,0.445,0.378,0.821,28.9,13.7,2.9,3.2,4.9,0.039,-2,-0.1
2014,14,14,PHO,T.J. Warren,North Carolina State University,4,159,3899,1795,602,153,0.499,0.306,0.749,24.5,11.3,3.8,1,7.4,0.091,-1,1
2014,15,15,ATL,Adreian Payne,Michigan State University,3,102,1360,408,306,66,0.399,0.232,0.67,13.3,4,3,0.6,-0.7,-0.026,-5.5,-1.2
2014,16,16,CHI,Jusuf Nurkic,,4,165,3197,1431,1072,223,0.464,0,0.611,19.4,8.7,6.5,1.4,4,0.06,-0.7,1
2014,17,17,BOS,James Young,University of Kentucky,3,89,751,202,94,26,0.367,0.276,0.548,8.4,2.3,1.1,0.3,0.7,0.047,-3.8,-0.3
2014,18,18,PHO,Tyler Ennis,Syracuse University,4,137,1679,557,159,259,0.414,0.34,0.773,12.3,4.1,1.2,1.9,0.3,0.01,-5.4,-1.4
2014,19,19,CHI,Gary Harris,Michigan State University,4,194,5138,2054,478,357,0.461,0.361,0.787,26.5,10.6,2.5,1.8,8.4,0.078,0,2.6
2014,20,20,TOR,Bruno Caboclo,,4,24,112,27,15,6,0.262,0.278,,4.7,1.1,0.6,0.3,-0.3,-0.141,-8,-0.2
2014,21,21,OKC,Mitch McGary,University of Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-3.1,-0.2
2014,22,22,MEM,Jordan Adams,"University of California, Los Angeles",2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1
2014,23,23,UTA,Rodney Hood,Duke University,4,192,5303,2391,593,400,0.416,0.365,0.822,27.6,12.5,3.1,2.1,11,0.099,-0.3,2.3
2014,24,24,CHH,Shabazz Napier,University of Connecticut,4,164,2167,700,236,300,0.377,0.358,0.763,13.2,4.3,1.4,1.8,1.5,0.033,-2.9,-0.5
2014,25,25,HOU,Clint Capela,,4,161,3274,1488,1131,118,0.62,0,0.445,20.3,9.2,7,0.7,11.6,0.17,0.8,2.3
2014,26,26,MIA,P.J. Hairston,University of North Carolina,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
2014,27,27,PHO,Bogdan Bogdanovic,,1,3,74,37,8,7,0.516,0.286,1,24.7,12.3,2.7,2.3,0.2,0.118,0.4,0
2014,28,28,LAC,C.J. Wilcox,University of Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-5.2,-0.3
2014,29,29,OKC,Josh Huestis,Stanford University,3,13,162,39,32,5,0.375,0.409,0,12.5,3,2.5,0.4,0.2,0.053,-3.3,-0.1
2014,30,30,SAS,Kyle Anderson,"University of California, Los Angeles",4,189,2786,720,569,253,0.443,0.341,0.744,14.7,3.8,3,1.3,6.9,0.118,1,2.1
2014,31,31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-6.4,-0.2
2014,32,32,PHI,K.J. McDaniels,Clemson University,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-3.3,-0.7
2014,33,33,CLE,Joe Harris,University of Virginia,4,114,1767,620,199,88,0.422,0.385,0.688,15.5,5.4,1.7,0.8,1.2,0.032,-3.2,-0.6
2014,34,34,NYK,Cleanthony Early,Wichita State University,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8
2014,35,35,UTA,Jarnell Stokes,University of Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,1,0.1
2014,36,36,MIL,Johnny O'Bryant III,Louisiana State University,4,116,1370,372,274,58,0.407,0.5,0.642,11.8,3.2,2.4,0.5,0.2,0.006,-6.3,-1.5
2014,37,37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,,,
2014,38,38,DET,Spencer Dinwiddie,University of Colorado,4,112,2110,712,251,350,0.392,0.305,0.786,18.8,6.4,2.2,3.1,3.6,0.081,-1.7,0.2
2014,39,39,PHI,Jerami Grant,Syracuse University,4,228,5103,1636,786,265,0.412,0.304,0.63,22.4,7.2,3.4,1.2,6,0.056,-2,0
2014,40,40,MIN,Glenn Robinson III,University of Michigan,3,149,2196,663,353,84,0.448,0.376,0.698,14.7,4.4,2.4,0.6,3.4,0.075,-2.3,-0.2
2014,41,41,DEN,Nikola Jokic,,3,159,3966,2110,1348,577,0.55,0.335,0.824,24.9,13.3,8.5,3.6,17,0.206,6.5,8.6
2014,42,42,HOU,Nick Johnson,University of Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3
2014,43,43,ATL,Walter Tavares,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.6,0
2014,44,44,MIN,Markel Brown,Oklahoma State University,2,109,1763,579,229,130,0.382,0.297,0.781,16.2,5.3,2.1,1.2,1.1,0.031,-2.7,-0.3
2014,45,45,CHH,Dwight Powell,Stanford University,4,182,2682,1039,659,109,0.496,0.27,0.75,14.7,5.7,3.6,0.6,8.4,0.151,0.4,1.6
2014,46,46,WAS,Jordan Clarkson,University of Missouri,4,226,6541,3226,761,625,0.442,0.335,0.81,28.9,14.3,3.4,2.8,5.8,0.043,-1.6,0.6
2014,47,47,PHI,Russ Smith,University of Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-6.4,-0.1
2014,48,48,MIL,Lamar Patterson,University of Pittsburgh,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.5,-0.4
2014,49,49,CHI,Cameron Bairstow,University of New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-7.7,-0.2
2014,50,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,
2014,51,51,NYK,Thanasis Antetokounmpo,,1,2,6,6,1,0,0.75,0,,3,3,0.5,0,0,0.291,-4.1,0
2014,52,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,,,
2014,53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
2014,54,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,,,
2014,55,55,MIA,Semaj Christon,Xavier University,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-6.3,-1.1
2014,56,56,DEN,Roy Devyn Marble,University of Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5,-0.3
2014,57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
2014,58,58,SAS,Jordan McRae,University of Tennessee,2,59,579,260,61,44,0.404,0.384,0.774,9.8,4.4,1,0.7,0.5,0.043,-5.7,-0.5
2014,59,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,,,
